"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Achyut_Prashast_Singh","27 February 2017","Movie: Train to Busan (A) (Why, CBFC India?)Rating: 5/5To be very honest, I had never watched a zombie film in my entire life. I had heard about such films and also realized that mostly Hollywood produces such films. TRAIN TO BUSAN is an exceptional addition not just to the list of the best zombie apocalypse action thriller, but also to the list of best films of world cinema which portray human emotions in the most realistic and heart-touching way possible. Yes, it's that excellent. TRAIN TO BUSAN is the first South Korean film to have a wide theatrical release in India. That attracted too. It was released in India in English, Hindi, Tamil and Telugu. I watched the film first in Korean with English subtitles, and then in Hindi. And I realized that the film manages to convey its message and make you reciprocate emotionally for the film, whether you watch the dubbed version or the original version. The Hindi dubbing was good enough to add to the positive feel.The art South Korean filmmakers know is how to add an emotional feel to different genres. Thus, TRAIN TO BUSAN is no exception as it makes you feel for every character. Gong Yoo takes his performance to a higher level and raises the bar for world cinema actors in the climax. He is extremely likable and excellent. Ma Dong-seok is brave, lively and energetic too. Jung Yu-mi impresses big time with her beautiful & emotionally active character. Kim Su-an is cute & impresses with her strong act in sequences which one can't expect from a child artist of her age. Other actors too deliver performances great enough to make you care for them. The film's scale is big, and the visual effects are amazing. Cinematography is excellent and captures the locales & thrilling action sequences with plenty of intrigue, while also succeeding in sending chills down your spine through the emotional sequences. Thankfully, it's not an Indian film, otherwise filmmakers won't have rested without adding songs & unnecessary romance. Whatever you see in the film, looks very, very realistic. The tension is very well built and neither do you deviate from enjoying the film, nor does the film deviate from storytelling. The story and screenplay are both excellent, and the editing is excellent. The only thing that disappointed me was the A certificate given to it by the Indian Censor Board called CBFC. Why? No nation of the world gave this film an 18+ rating except India & Malaysia. Leave Malaysian Certification system because they follow equal rules for all films Irrespective of the target audience. But in India, films with dozens of gory violence & bucket loads of vulgarity get a UA (PG) certificate. TRAIN TO BUSAN is a clean family entertainer despite the A certificate it has been subjected to. But it's not a mistake of the makers, so there was no flaw I found in the film.Overall, TRAIN TO BUSAN is a must watch film for any movie enthusiast. Irrespective of language and nation barriers, the film deserves to be watched by one and all. And yes, I forgot to tell. This film was the first one that actually made me cry. No film before had compelled me to shed tears, but this film did. Even the emotionless will emote. Such strong is this film. Go, watch it with your family and enjoy it fully, along with respecting the safe life we have from zombies in reality.","
            10/10
            "
"thmear","17 August 2016","Very good scenario and the actors are excellent. This film keeps you in stress until the end.If you like zombie film don't miss this great movie. Those monsters are very fast (like in ""28 days later"") and very very aggressiveKorean director are very good in making thrillers film. Now you can count on them for horror adventure and zombies stories.You can also see ""Seoul station"" from the same director. A very nice animation from the same director and from witch ""Busanhaeng"" is the sequel.2 hours of pure anxietyNice images of train crash","
            8/10
            "
"jamesrupert2014","25 February 2019","In this fine Korean entry in the 'fast-moving zombie' sub-genre, a diverse group of survivors find themselves sharing the linear confines of a high-speed train with ravenous undead, hoping to eventually reach safe haven. I watched an English subtitled version, but thought that the cast was very good, especially 10-year old Kim Su-an as Su-an and Gong Yoo as Seok-woo, her fund-manager father who is forced to re-examine his values in light of the grisly apocalypse. The film is somewhat uneven in the capacities of the hyper-animated corpses to absorb punishment but otherwise the story holds together pretty well (considering the premise is a communicable agent that near instantaneously turns a bitten person into a milky-eyed, frenetic cannibal). Well-made and smoothly directed, 'Train to Busan' is an entertaining entry into a generally bloated genre and impressively for a zomboid film, pulls off affecting, almost moving, ending.","
            9/10
            "
"ashiwalli","27 May 2018","With a dynamic storyline and multi-dimensional characters, backed by a cast of exemplary actors, its simply myopic to try and place this movie in any one genre.Brimming with elements of Adventure, Romance, Drama, Action, Thriller and ofcourse, from an objective stand point, Horror (of an unprecendented caliber) this movie has scared me, teared me and tore me up all whilst making me overwhelmingly happy.Though admittedly falling victim to a number of banal genre clichés.. like characters freezing at the most irrational, inopportune times and predictable 'zombie-morphings'... this film has done well to redeem itself and atone for shortcomings of zombie movies before.Without revealing too much, i would especially like to commend the screenwriters for such stellar work on scripting the characters and how interactive they were made. The main protoganist took me on a roller coaster ride of emotions... I found my self being inadvertently swept from abhorring everything that he was to adoring everthing that he had become... and his daughter.. my oh my... an adorable charming angel yes.. but an exceptionally gifted actor indeed... THIS MOVIE IS A MUST SEE... no matter what you may be in the mood for.. im positive you'll find that this movie will adequately satiate ur crave.A+","
            8/10
            "
"daoldiges","21 May 2018","I didn't know what to expect from a Korean film taking on the zombie genre, a genre that I'd only ever seen from American directors and studios. I really enjoyed this film. It was a very dense film in that there was a tension, emotion, intent, and forward movement at every moment in the film. There was not really any down time, which is what I'm looking for in a thriller. I really liked the lead actor and empathized with him throughout and consider this a film worth seeing even if you're not necessarily a fan of American zombie productions.","
            9/10
            "
"Woodyanders","6 November 2019","A motley assortment of passengers on a train going from Seoul to Bosun are put in great jeopardy when they find themselves caught up in a sudden zombie outbreak both on said train and in the outside world as well.Director/co-writer Sang-ho Yeon keeps the gripping story hurtling along at a breathless breakneck pace, takes time to develop the characters, ably builds a tremendous amount of nerve-rattling tension, maintains a tough take-no-prisoners tone throughout, and stages the attack scenes with rousing go-for-the-throat gusto. Most importantly, Yeon and co-writer Joo-Suk Park bring a surprising pronounced element of pathos and humanity to the premise which in turn ensures that there's plenty of genuinely moving heart to go along with all the harrowing horror. The excellent acting by the tip-top cast further keeps the film on track, with especially stand-out contributions from Yoo Gong as negligent workaholic dad Seok-woo, Su-an Kim as his estranged daughter Soo-an, Dong-seok Ma as the brave Sang-hwa, Yu-mi Jung as the pregnant Seong-Kyeong, Eui-sung Kim as selfish business tycoon Yon-suk, Gwi-hwa Choi as a scared homeless guy, and Sohee as perky cheerleader Jin-hee. The infected folks are extremely ferocious and frightening. Proof positive that there's still some invigorating life left in the zombie horror genre.","
            8/10
            "
"siderite","25 December 2016","I love Korean horror movies. Right when the action and horror is at its peak they insert this home like humor that makes you feel for the characters and understand that while the plot might be ridiculous, so is real life.This is not a comedy, like Gowemul, which I really liked, but has some of these moments that make it fun. The scene when the guy apologetically tells his pregnant wife ""Honey, can you run?"" while a horde of zombies approach was priceless.So, yeah, it's a zombie movie. And while it feels fresh, it's nothing you haven't seen before. It's Korean, so it has some specific idiosyncrasies and some of the jokes or social issues it hints at might pass over your head, but it's not that deep.I liked the actors, the kid was really good. The special effects were OK most of the time, but there was one ""explosion of zombies"" effect they used twice without it being needed and it looked kind of stupid. I liked the scene where the ""villain"" kind of explains how he feels and why he did the horrible and stupid things he did. It is important to care about your characters, including the bad guys and the sacrificial lambs. Americans might want to learn from that.Bottom line: I had a lot of fun watching it. Even my wife was hooked by the end and wanted to watch the ending. Keep fresh horror coming, Korea!","
            9/10
            "
"Tweekums","7 August 2019","Seok-woo is a workaholic fund manager living in Seoul with his mother and Su-an, his young daughter. She is desperate to see her mother, who lives four hundred and fifty kilometres away in Busan. Eventually her father agrees to take her and together they board the train to Busan. As the train prepares to depart we are introduced to a few other characters; a man and his pregnant wife; a pair of older women; a school girl and her boyfriend a wealthy business executive; a homeless man who keeps saying 'everybody is dead!' and a girl who is behaving strangely. Soon after the train sets off this girl attacks a train attendant... it is clear that she was infected with something that causes extreme violence. It isn't long before more and more become infected and survivors are barricading themselves in the remaining safe parts of the train. If that weren't enough it is clear that the infection is affecting people throughout South Korea.I really enjoyed this South Korean zombie film; it provided tension from soon after the start right to the final scene. The zombies are more like those infected in '28 Days Later' than classic slow shuffling ones some people might not be keen on that but I think so long as they are scary all is good... and these provided the scares. The film nicely establishes rules that these particular zombies follow. Inevitably there are plenty of gory scenes, but nothing too excessive, and it isn't entirely obvious who, if anybody, will survive. The key characters are introduced well and fairly quickly; they include a good cross section of society and both heroes and cowards. Setting the film in the confined space of a speeding train adds an extra danger as there are limited places for survivors to hide safely for any length of time. The cast is solid and make us believe in their characters; similarly the special effects are pretty impressive. Overall I'd say that this is definitely a film to watch if you like zombie movies.These comments are based on watching the film in Korean with English subtitles.","
            9/10
            "
"christopher-underwood","2 July 2020","I guess this might be referred to as a 'popcorn movie' in as much as it doesn't set out to change the world but just entertain, trouble is I'm just not sure at what point you would have the time to grab a handful and amidst the mayhem there are moments of seriousness and cause for reflection, especially in the midst of our own, very real pandemic. Director Sang-ho Yeon was known for animated films before plunging into this immaculate and superior example of the action movie. There is a brief introduction with scenes of work and private life showing considerable signs of strain even before we plunge into the most devastating and excitingly constructed runaway train with zombies. I guess they are not really zombies but persons rapidly infected in such a way as to display zombie like symptoms. Cleverly we are introduced to the main characters and then shown in terrible and frightening clarity the bloody and warped reality of such a victim. Such is the detail and believability that when more and more and even more are so transformed we are only too aware of the detail. Indeed the director's animation background makes him perfect for using (I assume!) CGI in such imaginative and convincing ways we really believe piles of zombies and tumbling over each other like great waves of living dead. At two hours the film is just about right and I think, looking back, that the reason this almost single set film maintains its momentum so well is partly that it is so well shot. The imaginative use of the camera, as well as the editing, help enormously, as does the restrained but effective emotional involvement achieved through minimal but well judged dialogue between the main protagonists. Brutal and visceral action combines with very subtle messaging to ensure the perfect ride, always assuming you are not on that Train to Busan","
            10/10
            "
"meydiana-65242","24 November 2020","An overall excellent movie
A friend of mine recommended this movie. In his words, it would be ""a kickass Korean zombie flick"", so naturally i went into this movie expecting another generic, dumb, goofy zombie splatter film. Boy, was I in for a surprise!First of all, the acting is spot on. All the actors are doing a tremendously great job, but for me, little Soo-an Kim totally nails it in one of the best child actor performances I have ever seen. The zombie actors are also truly exceptional and they manage to spook you, without having to rely on heavy prosthetics and rotting flesh.Secondly, the cinematography is amazing. Although the whole story is taking place during daytime, the film manages to make you feel claustrophobic and constantly nervous without having to rely on cheap tricks such as jump scares or low lighting conditions. The cuts are seamless, the colours great and, though different from Hollywood standards, it is a generally really good looking movie.What really captured me though in this film was the drama. In this genre the characters are usually very generic and one dimensional. Though this flick is, at first, not so different in this aspect, as the story carries on we witness the shifting between the dynamics of the characters, we see their personalities evolve and change, we find out about their motives, their relationships and the depths they would go for their loved ones. I personally found myself very emotionally invested to the characters (which might be due to the great acting performances),I was actively routing for them and was really moved by the movie's finale.Don't get me wrong though. This is not some melodramatic drama flick. It is still an awesome zombie apocalypse movie. It is fast paced, it is action-packed, it is gory, it is tense and terrifying and it will keep you at the edge of your seat. It is also original, it doesn't play around and will surely satisfy even the hardcore fans of the genre. However, it is also a film you will remember for its awesome story and characters and for being an overall great movie. 10/10.","
            8/10
            "
"SilentEyes_","28 December 2016","This has to be one of the finest zombie and horror films in general I have ever seen. Extremely thrilling and captivating from start to finish. Everything in this film has done with passion and care. From the characters and heartbreaking moments they go through, visceral zombie attacks, acting and camera work down to dialogue. Everything works great. This is what World War Z should and could have been. Sure the plot of the film is not original, because yet again we are shown the struggle and survival of people during zombie pandemic, but the way the story is approached and executed is beyond most of the average mainstream horror movies we get these days. If you are a fan of zombie films you will definitely enjoy this horror gem.","
            10/10
            "
"alcantaraj-16594","18 June 2021","""Train to Busan"" is filled with action, zombies and characters that you'll love and care for - with a character you'll truly hate and want to die - along with its uniqueness. It also has a fresh take on the zombie genre, making it a thrilling, satisfying and unpredictable train ride.","
            8/10
            "
"tenshi_ippikiookami","10 September 2016","""Train to Busan"" is an amazingly entertaining movie, with a few missteps that stop it from being truly great.The story is pretty simple. Yoo Gong's Seok Woo is a man that only cares about his job. His wife has left him and lives in Busan, while his relationship with his daughter is becoming more and more strangled. The daughter (a quite amazing Soo-an Kim) wants to visit her mother for her birthday, and Seok Woo ends accepting. They decide to take the train from Seoul to Busan.At the same time a zombie-outbreak happens in South Korea.Cue lots of violence, running, blood and surprising moments, with a huge dose of feelings (but without falling into the cheesy).The movie keeps things simple: train, zombies, stations, and a bunch of people that will try to survive (some of them will do anything to do so). In that respect it is not especially original. The plot is thin as it comes, but the direction keeps things fast and breezy, and plot developments keep happening non-stop. The direction is a little bit video-game style, but fits the movie. The originality in the fights between the zombies and the survivors is one of the strong points of the movie, with some surprising moments. On the other hand, it can't help but fall into the ""I-don't-want-to-live-without-you"" moments, or some extra saccharine situations. Also, some of the characters' decision-making is just silly, and even if a couple of moments are clearly comedy, the line between comedy and action-horror is not clearly drawn, and some laughs are more on the ""wrong-time"" side. Actually, the movie is not very scary, but it is quite the ride.The acting is quite good, and some, as charisma-oozing Dong-seok Ma, or selfish-as-hell Eui-sung Kim, do a great job. And the music, scenery, and effects keep a good level thorough the film.There is also a quite obvious social commentary, but it does it in a way that it hits target more than misses, and brings its ideas clearly across the screen. This commentary elevates the movie in its lowest moments.""Train to Busan"" may not arrive on time, but you won't care.","
            6/10
            "
"CinemaClown","24 January 2017","A non-stop locomotive ride that lets the fast-moving & instantly-infected zombies from Brad Pitt- starring World War Z go haywire inside a fast-moving train, this South Korean zombie apocalypse horror is a highly gripping, thoroughly entertaining & consistently engaging journey that moves at breakneck speed from start to finish and keeps ratcheting up the tension throughout its runtime.The story of Train to Busan finds an absentee father & his young daughter boarding a train from Seoul to Busan to meet her mother. But all hell breaks loose when the train is overrun by zombies and results in death & reanimation of numerous staff members & passengers. With nowhere to run, the two team up with other surviving members to ward off the infected until the train makes it to its destination.Directed by Yeon Sang-ho, the film borrows certain elements from Marc Forster's World War Z & Bong Joon-ho's Snowpiercer but carves an original storyline that's brilliantly executed on the film canvas. Sang-ho's kinetic direction keeps escalating the stakes with skilfully crafted moments of horror and slowly but steadily manages to compel the viewers to invest in the characters' journey & eventual fate.The zombies retain their vicious nature but an added weakness does allow for some suspenseful moments that are expertly carried out. While the movie makes use of CGI in the depiction of the reanimated corpses, the zombies look far more believable than the artificial mess they were in the film they are lifted from, not to mention that even the human characters exhibit an emotional core that was missing in that feature.The dramatic portions, however, are a tad too overblown as the director is unable to pull them off with same zeal with which he carries out the action-horror segments. The technical aspects are finely executed and the film as a whole really benefits from its energetic camera-work, tight editing, excellent choreography, first-rate production design & fitting score and although a few CGI shots don't look realistic enough, it serves its purpose well.Coming to the performances, the entire cast chips in with serviceable inputs and even though the characters they play lack an interesting persona & certain amount of depth, the actors somehow succeed in making the audience get on board with their characters' predicament. While everyone does an apt job in their given roles, there really was no need to add a despicable human character when you already have a train full of zombies so that felt a bit forced.On an overall scale, Train to Busan still makes up for an exciting, action-packed zombie horror and boasts numerous sequences of sustained terror. The build-up is quick and once the train begins to move, it becomes all the more relentless & unstoppable. A few shortcomings like numerous stupid decisions made by a few characters does rob it of its uniqueness but there is no denying that Train to Busan delivers a healthy dose of adrenaline-filled extravaganza until the very end.","
            8/10
            "
"funtasticfour","15 November 2019","I love horror movies, and this is on a lot of peoples lists, so I had to watch it. I'm kind of over zombies, so it didn't do much for me, as it's basically just zombies on a train. There is some good emotional moments, and some of the infected move in creepy ways...but I've seen a lot of better ones, so it won't be near the top of my list.","
            9/10
            "
"jackgdemoss","9 June 2019","Train to Busan is hard to put a pin in. Half of the time it plays like one of the most developed and enthralling zombie films to date, but the other half it plays like a B movie. Act I is rock solid through and through. The rules of the virus and the world it is in were laid on the line clear as day, following a respectable amount of time spent developing our main characters. The rest of the film is plagued by inconsistency with how the virus and the characters behave, which ultimately cripples the film. Even with this hindrance, Train to Busan is not an action film to miss.","
            10/10
            "
"kevin_robbins","1 July 2021","Train to Busan (2016) is a movie my fiancée and I watched together on Netflix. The storyline follows a zombie outbreak and a father and daughter's escape from a city and onto a train. The storylines continues with how the train deals with it's world around them and the father's commitment to the daughter's survival. This movie is directed by Sang-ho Yeon (Train to Busan Presents: Peninsula) and stars Gong Yoo (Guardian: The Lonely and Great God), Yu-mi Jung (Our Sunhi) and
Ma Dong-seok (Eternals). The storyline for this is very compelling and way better than it should be. The audience becomes very invested in the characters and you can't wait to see what they do next. The acting is very good and the daughter/father bond is well portrayed and delivered. The zombies sequence are also well done and you feel the intensity of the scenes. I would strongly recommend this movie and score it a 9/10. One of the better recent zombie films.","
            9/10
            "
"lee_eisenberg","29 January 2017","Another zombie movie? Yes, and Yeon Sang-ho's ""Busanhaeng"" (""Train to Busan"" in English) is a cool one. The plot involves a zombie apocalypse overrunning South Korea, while a group of train passengers tries to contain the infected passengers. Just as most zombie movies give their living dead unique attributes, this one does: the zombies can't see in the dark, so they have to rely on their hearing (meaning that the living can sneak past silently when the train passes through tunnels).It's not a masterpiece, but fun. I suspect that it's fun to play zombies, or whatever the infected people are supposed to be. The subplot about the absentee father and his daughter trying to reconnect gave the movie a more human side than most zombie movies out there. I hope that Yeon continues making movies like this.","
            8/10
            "
"aminifatimaaa","24 February 2019","Directed by Yeon Sang-ho, Train to Busan immediately earns a place in the canon of great zombie cinema. Layered, emotional, and riveting, the South Korean product blends human drama, thematic depth, and jolting horror in its tale of commuters trapped within a train while an epidemic rages without. The production is sleek, the violence is biting, and the characters are worth investment. It is the rare horror film whose spirit and energy engender the desire to watch the work again immediately after the credits roll.","
            8/10
            "
"cricketbat","31 December 2018","If you're looking for a solid PG-13 foreign zombie flick, Train to Busan is a great choice. It drags a bit at the beginning, but the undead are quick and horrifying, and the story keeps your adrenaline pumping once it gets going. It's not overly gory, either. This movie relies on the hopelessness of the situation to frighten you. I'd happily add this to my collection of zombie movies.","
            6/10
            "
"DigitalShark1","20 October 2021","Train to Busan really took me by surprise. I thought it was going to be another generic zombie movie, certainly looks that way by how it's promoted, but once you watch it, you realize just how much care and passion went into this project.Train to Busan is about a series of characters trying to survive a zombie apocalypse onboard a train that needs to get past stops, roadblocks and a ever-growing crew of zombies slowly working it's way up the train.Even though there's such a huge cast of characters, none of them feel boring or forgettable. In short time, Train to Busan establishes distinct characters that you remember the quotes of and cry when they're eventually eaten. The large cast of characters also lends itself to the tense atmosphere of the whole film. No one feels safe from the zombie horde and it's anyone's guess to who gets axed off next.Train to Busan is the most engaging zombie movie I've seen in a really long time. But please god, watch it subbed. I promise you, you might feel the need to watch the dub, but I promise you, it's better subbed. Reading is not that bad, I promise.","
            9/10
            "
"Rob-O-Cop","13 September 2016","The zombie bits were good but unfortunately the bits in between and at the start were some pretty average family drama cliché. Daddy works too hard and the daughter resents it, school performance he didn't make it to, the Korean relationship dynamic cliché (I really hope this isn't normal in real life Korea but it appears in every relationship in their movies), nagging wife, dumb (huh?) beaten down husband. The self centered baddie is a pretty easy to loath character, so well done on that, the effects were nice, the zombies looked great, sound was great, cinematography was a bit 'digital camera', but passable. They laid the syrup sentimentality on with a shovel and it really drags the movie down, making a 6 instead of an 8.","
            9/10
            "
"Hellmant","17 March 2017","'TRAIN TO BUSAN': Four and a Half Stars (Out of Five)A South Korean zombie apocalypse horror flick, about passengers on a train to Busan that are trying to survive a zombie outbreak. It was directed by Yeon Sang-ho (who's only previous experience is in writing and directing animated horror and thriller movies), and it was written by Park Joo-suk. The film stars Gong Yoo, Kim Su-an, Jung Yu-mi, Kim Eui-sung and Ma Dong-seok. It's received almost unanimously positive reviews from critics, and it was a blockbuster at the international Box Office (breaking multiple records). I really enjoyed it as well.Seok-woo (Yoo) is a divorced fund manager who's obsessed with his job and has made little time for his young daughter, Soo-ann (Su- an), in recent years. Seok-woo has promised to take Soo-ann to Busan, to see her mother, but of course things don't go as planned. A zombie outbreak spreads throughout the train, and seemingly everywhere in the area. Seok-woo, and his daughter, must work together with other passengers on the train, to survive the trip and hopefully make it somewhere safe. At the same time Seok-woo tries to prove to his daughter what a good father he can still really be (by becoming a badass zombie fighter).The film has some great special effects, and awesome (brutal) zombie action scenes. It's a great dark horror movie, with biting social commentary on the battle of the rich verses the poor (despite how cheesy it might sound). It's also a surprisingly emotional character study, with a pretty diverse (and well developed) group of characters. The film is a lot of fun, it's satisfying to horror fans, and it's even got some decent drama in it (and acting). I think it definitely deserves it's enormous Box Office success, and it's rave reviews.Watch our movie review show 'MOVIE TALK' at: https://youtu.be/Y0XE5jyxMFQ","
            10/10
            "
"safenoe","30 December 2020","I haven't seen many Zombie movies, but Zombieland (Woody Harrelson) is one that ranks highly. So does Last Train To Busan, a frenetic and emotionally moving addition to the genre. The ending was very emotional, and you never really knew for sure which characters would survive the last stand. The special effects was incredibly impressive, and the acting top form.","
            8/10
            "
"bombersflyup","5 June 2018","Train to Busan is an exceptional foreign film. Thrilling from start to finish with a little comedy and heart as well.I'm not one who looks to watch zombie flicks and this may be the first Korean film I've ever seen and I loved it. The pacing's non-stop and the emotional stuff isn't too much. How many people died because of that Yon-suk a-hole, he's hilarious. It's also about a man's journey in Seok-woo, becoming heroic and selfless, after witnessing those around him and his daughter in particular care for the welfare of others in a time of peril.","
            7/10
            "
"Pjtaylor-96-138044","12 May 2018","'Train To Busan (2016)' is one of the best zombie movies of recent years, boasting a frenetic energy and the ability to create pulse-pounding tension thanks to an astute focus on fast-paced yet clear action sequences that feature several well-developed characters. Almost all of the primary passengers feel tangible and their relationships are expertly explored, leading to some truly emotional moments as well as constant audience attachment. This is what really elevates the piece above others in the genre. 8/10","
            5/10
            "
"parry_na","16 March 2017","This begins with one of the best pre-credit scenes I've seen in a while, featuring a deer knocked down and apparently killed by a flustered van driver. Moments later, the crumpled body in the road judders back into life, struggling to stand. As it does so, we see its eyes – dead and milky. The creature has joined the ranks of the living dead! Next we meet sulking child Soo-an (Kim Su-an), who is upset because her father Seok-woo (Gong Yoo) works all the time and spends no time with her. I have a problem with this kind of thing, and other similar scenes in other films. Perhaps the child would be less brattish if the parents gave up work and instead of a WII (or two) to play with, she had a stick and a clementine. Hardly! ""Dads get all the bad rap and no praise,"" says big soft husband Sang-hwa (Dong-seok Ma) at one stage. Seok-woo, however, has his own story to tell  Anyway, this distant father and child are but two passengers who board the train to Busan, amid news reports of violence and rioting in the streets, and also a wayward passenger exhibiting symptoms of a strange and deadly disease.And we're off. Whilst the rapid transformations of many passengers into zombies relies perhaps too heavily on the actors' facial mannerisms and comes across often as 'over-enthusiastic' acting, there's no denying the effect of an enclosed body of people reverting into killers in some tensely choreographed scenes.My favourite character might well be Michael Ripper-like Yon-suck (Kim Eui-sung), self-serving CEO who does everything, and betrays everyone, in order to survive amidst the spitting, fast-moving zombie creatures. In one of my favourite scenes, the ringtone of a mobile phone in another carriage is used to successfully deflect the attentions of the ravenous pack. Watching them charging as one toward the source of the sudden, tinny music, is very effective.Every possible drop of tension is wrung out into the running time. For a while whilst watching 'Last Train to Busan', I felt there was something holding it back from greatness. Brilliant direction, acting and urgent pacing – however, I couldn't get completely immersed in it. And then, somewhere along the way, that changed and I was hooked. The tension is impossible to resist. What a journey!","
            8/10
            "
"frankblack-79961","5 August 2020","Would have been a lot better if the main charachters had some commen sense. That goes for 90% of horror movies but damn. I just can't believe people are that dumb. I might be wrong though.","
            9/10
            "
"yusufpiskin","31 July 2020","I am not usually a fan of action movies, so to speak. They're formulaic and predictable, with eye-rolling story beats.This movie was definitely formulaic.HOWEVER.Do not get me wrong when I say, that once in a while... Someone comes along and takes the ""formula"" for pulling emotion from the audience and executes it to perfection. Train to Busan does exactly that.It takes every single trick in the book (might as well be a two hour edition of Robert McKee's ""Story"") and puts them all together, nicely wrapped in a bow of constant-zombie-action-engagement.You end up so engrossed in the action that you forget that you're taking in incredible story beats and an impeccable character arc that makes for a massive emotional payoff.Great acting. Great underlying social commentary. Great direction.This premise, if executed poorly, would have made for a super cheesy film. It wasn't executed poorly.Watch. Learn. Feel.","
            8/10
            "
"asda-man","21 September 2016","Zombie films have been hitting our screens since the dawn of time. Well, it certainly feels like they have anyway. Popularised by George A Romero's terrific Dead trilogy, zombie films have since been rearing their heads like hordes of the undead themselves. Whilst they can be a lot of fun, more often than not, they can also be cliché ridden and trashy. We have had some quite enjoyable zombie films recently such as, Cockneys Vs Zombies and The Horde but we haven't really had a properly great zombie movie since 2004's Shaun of the Dead. Train to Busan changes that.I saw Train to Busan on a whim. I'm travelling in Singapore and had a few free days so I thought that I'd check what's on the cinemas here. Train to Busan caught my eye but I had never heard of it, however I saw that it was Korean and that it had zombies in it, so I was sold! To my surprise, I came out of the cinema having just viewed easily the best zombie film in a decade. Korean films have hardly ever let me down and Busan is no exception.As there's very little coverage of this film on the Internet, I'd better give a rough plot outline. It basically follows a selfish father who is cold and neglectful towards his cute young daughter. For her birthday, she wants to travel to Busan to see her mother so he reluctantly takes her on the train to Busan (creative title) however, a rather inconvenient zombie outbreak occurs as they board the train. The rest of the film is a claustrophobic and thrilling fight for survival as the survivors desperately try everything in their measure to get to Busan on a undead-infested train.What makes this film so great is the characters. Most horror films (particularly ones with zombies in) sprinkle a load of disposable characters in who all die in a predictable order. We don't often particularly care when they die, in fact we're more likely to relish the gory death shown in all its bloody gory. In contrast, Train to Busan focuses in on a line of memorable characters who we actually care about and want to see survive. They're developed in such a way that when someone cruelly perishes, we feel a great sense of loss and emotion. This is where the film's strength lies. What's also interesting is that they're not all stereotypes either. The protagonist isn't your typical hero, he's a character who is grossly selfish and unlikable at the start, but he subtlety develops into someone you begin to care about and admire.The film starts off as a good little zombie thriller. There's a sense of realism to the whole situation as we're made to watch the panic unfold on the train in an effective way. There's also a nice comic touch to the whole thing with some witty dialogue so it never takes itself too seriously. It also somehow never gets boring even though the film is essentially two hours set on a train, which is no easy task. There's always tension and a sense of peril. You get the feeling that anything could happen to these characters at any given moment. Once the film reaches the mid-way point though it stops being good and starts becoming great.Things get going fairly quickly so the characters develop through the action, making the film all the more gripping as it goes on. It's an unpredictable ride with lots of thrilling set- pieces to keep you on edge. The final half hour is essentially non-stop action and it becomes exhausting to watch without ever feeling too ridiculous. What really impressed me though was the emotional charge in the second half. There are a few scenes which had me welling up with tears, which I wasn't expecting. I just got so absorbed in the characters and their intense situation. The use of music and editing is also hugely effective in pulling at your heartstrings.There's really very little which Train to Busan does wrong. If I were to nitpick, I'd say that I would've liked more gore. Zombie films always give a good excuse to give us an array of fun, gory effects but this film is surprisingly restrained. There's a lot of hand-to-hand combat and nothing else creative. However, this does sort of add to the realism of the situation as you're not going to find many axes or chainsaws on a train. It's still not as bloodless as World War Z.I can't urge you enough to watch Train to Busan, especially if you're a fan of Korean cinema. It doesn't just offer plenty of nail-biting thrills and impressive special effects, It offers emotion and splendid characters whom you can properly invest in. It's a powerful film which wears its heart on its sleeve and contains more character development in two hours than The Walking Dead has in six seasons. Once the film was over I became overcome with emotion. I felt like I could just break down and cry at what I had just watched. This is so much more than a zombie flick, at its heart it's a devastating drama about family and the importance of human kindness. I loved it.","
            6/10
            "
"Analog_Devotee","5 May 2022","The most emotional entry into the zombie genre I've ever seen, with phenomenal breakneck-paced action to match and make for a truly exciting experience.Highly recommended.","
            10/10
            "
"mrrcott","25 September 2016","You may think you know all about zombies but have you wondered what it would be like to be on a train with fifty of them all running after you and gnashing at your ankles?Zombies on a train is the premise of this film, a big hit in South Korea. If you had no idea this film was a horror, or that it featured zombies, it might be quite exciting but I imagine most people will go into this knowing exactly what to expect.Some kind of catastrophe has led to an outbreak in which dozens of writhing undead are roaming the streets of Seoul looking for their next victims. A group of travellers including main lead Gong Yu are on the train to Busan. They've barely gone twenty minutes before there is clearly something wrong with some of the passengers. Checking the situation on their phones, the passengers see that the country is in a state of emergency.Cover.jpgThey try to leave at the next station but find that the soldiers who are waiting for them have already been bitten. The most exciting and tense scenes are when the group must flee back on to the zombie ridden train, running away from swarms of rabid recruits. Once back on its a long journey for the remainder of the film. Here's where the film runs out of steam. Once you've seen one zombie, you've seen them all. The film becomes a very standard struggle for survival and the scenes of characters running down train corridors become very repetitive.It's not a bad film. Its directed in expedient fashion but for a train film its seriously lacking any ambient sound effects such as the clickety-clack sound you would expect of a train on a track (or do South Korean trains run completely silently?).Fans of zombies will not be disappointed.Otherwise, it's more of what we've already seen many times over.My score: 6/10.","
            7/10
            "
