"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"isaacglover_05","27 December 2017","This movie, to me, was like an empty candy wrapper. Before watching the movie and after seeing the trailer, it looked like it was going to be something magnificent! It had:
Academy award winning lyricists - Benj Pasek and Justin Paul
Academy award nominated actor - Hugh Jackman
Academy Award nominated actress - Michelle Williams
An inspiring true story about acceptance, love, relationships, family and sticking with what you value most. The cinematography looked absolutely astounding in the trailer, the acting looked amazing, the directing looked amazing, just EVERYTHING looked amazing in the trailer. It gave me goosebumps I must admit. So, it's a small wonder that I was excited to go see this movie as soon as I could.However, that was just the wrapping of this promisingly sweet and delicious candy that I was looking forward to indulging. So when you open the wrapper and seeing that there's nothing inside it, you would feel quite disappointed wouldn't you?
Well that feeling was similar to how I felt when walking out of the cinema. The cast and the characters are probably this movie's strongest point:
Zac Efron really came to his own in this film. Not being a big fan, I must say I ended up finding myself quite excited when seeing him on screen, His character was intelligent, classy, knew what was best for him and had his moral compass set straight (though a little bit crooked at the start of the film). 
Hugh and Michelle were great of course. Rachael Ferguson was absolutely stunning, Zendaya was extremely impressive, and the circus ensemble were great in each of their own way. 
The cinematography was extremely impressive, the first shot of the film already reeling me in in what I thought was going to be the movie of the year. But that's where it ended. 
I understand where the lyricists and the composers of this film were aiming for a more modern feel with their music as a way to express Barnum's ahead-of-time ideas. But the 1800's setting mixed with 2000's music was definitely not the way to go, especially when each song started to sound the same: the structure being too similar to the point where you could predict when the chorus was coming up, when the beat was going to drop, when the texture was going to thicken. Hell, you could almost sing the lyrics before it was even sung! The messages with each song were very similar. Although they were inspiring messages, it didn't shy away from the fact that they ended up being quite redundant. Michelle Williams' solo was impressive, though, and was definitely a standout from the rest of the music. The story was predictable - a man coming from a troubled life, yearning to make something of himself. He eventually gets there, getting married and having a couple of kids along the way, but of course let's the fame get to his head and therefore slowly strains the relationships he has built around him. He of course eventually picks himself back up after a few reminiscing pieces of music as well as inspiring ""Nothing will bring me down"" scores, and lives happily ever after.It's been done before time and time again, and setting it in the 1800's and making it a musical will not shy away from the fact that the formula is getting really old. So this is my humble opinion on ""The Greatest Showman"" and what I had to say on the matter. It's not the worst movie of 2017 but it definitely isn't the best movie of the year either. It will be forgotten once it gets out of cinemas I believe.","
            4/10
            "
"planktonrules","14 July 2018","""The Greatest Showman"" is a highly fictionalized, colorful and loud bio-pic about P.T. Barnum, the 19th century showman who helped create the circus experience we're all familiar with today. I know some people who absolutely adored ""The Greatest Showman"" and it has a very respectable score on IMDB of 7.7....yet, surprisingly, I hated the film...so much I eventually turned it off. Perhaps it's due to my age...perhaps I am a curmudgeon...all I know is that the film was too intense, too brash and too loud for me. Now it's NOT because I dislike musicals...far from it. But this one is so in your face and abrasive that you'll likely either find yourself pulled into it OR you'll feel like screaming because it's an assault on all your senses....I am in that second group. The film simply had too few quieter moments and was more like a rock concert by musicians on crack than an enjoyable movie. It looks great...but induces headaches because of the film's intensity. A horrid viewing experience for me and my lovely wife.","
            1/10
            "
"reubenmark","1 January 2018","First off, I feel I need to preface this by saying I am not some heartless jockish type who violently hates musicals or spectacular movies. I am a great lover of musicals because of their potential to strengthen the emotional beats of any story through the majesty of song. Moments like ""City of Stars"" in La La Land, which beautifully depicts Seb's resignation in falling for Mia. Or Les Miserables ""I dreamed a dreamed"" that could melt even the coldest heart due to the plight of the completely defeated Flautine. My all time favorite musical, Fiddler on the Roof, is jammed packed with these moments, right from the start and the incredibly delicate yet spectacular world building opening of ""TRADITION!"" These musical moments were God damn earned by their story's plots and that is what is surely missing from The Great Showman.I honestly do not think it is possible to tell the back story of your protagonist as quickly as this movie does! It is a troubling trend nowadays to gloss over the set up of a films hero's life as quickly as possible just to get to the explosive dramatic action of the story, but telling us who and why we should care about a character is absolutely vital for the problems faced by that character to fully hit home. From the little I know about P.T Barnum he seemed to be this incredibly complex and interesting historical figure, so why not explore this in-depth? Do the film makers expect me to do my own deep dive into research into the man, inspired by their superficial exploration of him? I'm not out here looking to get homework after watching a movie, YOU DO THE HOMEWORK! And give me an authentic recollection of his life. It really is not hard and there will still be time for the musical numbers. And this is not only true for Barnum but so so many characters in this movie. You know you are lying to yourself if you did not feel like you wanted to know more about Zendaya's character? Where in the universe did this this incredible trapezes brother-sister duo come from? Indeed all the performers in Barnums circus were such wasted opportunities to help drive the message of the film home. At the very least they could have homed in on one, the bearded lady perhaps? I know those among you who love this movie are going to say that that would have slowed the ""hip and happening"" spectacle of this movie down but for the love of God its not hard work to script in same pieces of dialogue (or I don't know even possibly A SONG perhaps?) That gave us a feel for who these damn people are. But no f-that right? Who cares who they were, I mean its pretty obvious the type of life a bearded lady had, right?Now, you reading this may perceive me of being completely full of shit and some sort of film student, and you would be right! I am still very early on in my studies but the little I have learnt on crafting a story has taught me that every story needs to have an underlying meaning, a lesson the filmmaker wants to teach their audience and indeed themselves through a journey in the lives of characters. As my lecturer says to us, ""Tell the audience that two plus two equals eleven, then prove it to them!"" Writing stories that can inspire change in the world takes a ton of introspection, research, and diving deep into your own understanding and consciousness of a topic and then presenting your findings to the world and this is what annoys me the most with The Great Showman! If you were to take out the songs in this film it would honestly be the filmic equivalent of reading a Wikipedia page and that is such a shame because of the possibilities presented by the topic it was trying to explore. They could have explored race, the entertainment industry, exploitation, ambition, and presented us with an honest and educational finding on these universal issues, but instead they gave us a series of beautiful music videos. I am not making my point well here, but if you want to have a look at what true artistry in storytelling can lead to, check out this ""Lessons from a screenplay"" video about ""UP"": https://www.youtube.com/watch?v=ulm7bcB2xvYBut I am done complaining about this movie and I didn't mean to rain on all your parades but as a hopefully future filmmaker is worries me that such an artificial story-line can fly under the radar so easily by just adding heaps and heaps of spectacle. If you truly are a lover of films, you should demand with all you have that the men and woman who are charges to creating the scripts are forced to be as accountable as the incredible work done by cinematographers, sound designers, editors, colourists, visual effects artists, production and costume designers, music composers, and ofcourse the actors; all of whom completely and utterly killed the game in The Great Showman, it just a shame the writer put in such a shitty effort. And go easy on the critics, they love movies just as much as you do...","
            10/10
            "
"TheOneThatYouWanted","26 May 2018","I have to be honest with you, I fast forwarded threw all of the songs. After that, not much of a movie. Not sure why it is tracking so high but whatever.","
            8/10
            "
"ivantheeditor","19 November 2022","They dont make em like these anymore. This gem right here is exactly why people love movies! For a moment there, I forgot the world we live in and I was transported into another dimension. A magical one. Where anything is possible. With characters that were larger than life yet relatable and songs that made you feel feelings you forgot you could feel. This was more than a movie. It was an experience. The kind of experience that moves you and changes you. You're not going to watch this and then go back to whatever you were doing before this. No. You're going to listen to the soundtrack. You're going to watch behind the scenes videos on youtube of how they made it. Because let me tell you - this was a production masterpiece. If you don't work in tv or film you'll never know what it takes to create a movie like this one. So many moving pieces that have to line up just perfectly... and boy do they line up in this one!If you haven't seen it yet - lucky you! You're in for a real treat. Enjoy!!","
            9/10
            "
"ironhorse_iv","12 January 2018","Ladies and Gentlemen and Children of All Ages! 'The Greatest Showman' has arrived. Directed by Michael Gracey, the film showcase, the visionary of P.T Barnum (Hugh Jackman) who rose from nothing to create one of the greatest shows on Earth. Without spoiling the movie, too much, much like the real-life, promoter, this movie is here to entertains, and it completely succeeds in doing so. Nevertheless, it came without a few criticism from groups whom felt outrage & revulsion for what they deem as somewhat offensive overly exploitative of the physical impaired. Much like 1932's 'Freaks', a similar film before this, they're overlooking the positive incentives on showing people with impairments. Stories with characters with physical difficulties can help build understanding, compassion, and tolerance among viewers who don't face those challenges -- as well as give those who do a chance to see relatable people on screen. As a man of many physical challenges, I champion this portrayal, even if some of the disabled characters are played by able-bodied performers like Keala Settle, as the bearded lady, Lettie Lutz. As for the film portrayal of race. I also welcome the mostly positive portrayal of it, even if parts of it can be seemed as scientific racism, due to the fact that color of the skin, was group as an 'oddity', by Barnum's way of showmanship. Nevertheless, it's not as offensive as it could had been. After all, the film doesn't bring up, the fact that the real-life, Barnum bought slaves for blackface minstrel show, despite possessed, many anti-slavery convictions. Nevertheless, some of the artistic liberties about him, in this film, is still, a bit jarring, such as not, portraying any of his significantly involvement in politics, leading up to the American Civil War. It would had made, the reasons, why some people want to burn his museum, more convincing than the surface-level negative public attitudes about the theater as ""dens of evil'. While, I would had wish the movie was a little more open in exploring, more of the complexity social issues of the time. I didn't mind, for the most part, the film playing it safe with a water down version to make it more family-friendly. After all, it's supposed to be, musical escapism, not a historic accuracy biography film. However, there are two things, I didn't like about this portrayal of history. One is the villainess disservice to Swedish singer, Jenny Lind (Rebecca Ferguson) by painting her as the evil jilted lover of Barnum. In real-life, they broke up, not due to a botch romantic relationship, but over marketing. Nothing really sinister. Secondary, Barnum's company nearly went out of business, due to bad property investments, not Lind's tour. In truth, Lind made Barnum, a lot amount of cash. The other thing, I didn't like about this movie was the idea, it was saying that Barnum invented the modern circus, which is highly misleading. In fact, the first modern circus was introduce to the public, 100 years earlier, by performer Philip Astley in 1770 & the first circus tent was introduce in 1838 by Thomas Cooke. Barnum didn't really start his show business until much later, after his lottery business went under. Honestly, it wasn't until his most well-known partnership with James A. Bailey that his museum show started to look like, 'the Greatest Show on Earth' of today. Despite that, the high-energy, upbeat, choreography dance & acrobatic action, throughout this movie very effectively evoke the ambiance of the circus's reckless, but daring persona, even it's not historical accuracy. While, the fake-looking CGI effects that went along with it, is kinda jolting to look at. It didn't really bother me, as much as it should had. Maybe, it's because all the musical numbers written by songwriters, Benj Pasek and Justin Paul, who also wrote the songs for the acclaim, 2016's musical, 'La La Land', were pretty memorable. No wonder, why the songs are winning awards. Catchy songs like 'This is Me', 'A Million Dreams', 'Never Enough' & others is the heart of this film. It had me, singing along in my seat. I don't care, if the music choice does not match the time period. They were catchy & enjoyable. As for singing. It's a mixed bag for me. Most of the singing from the cast was great; Ferguson as Lind, & Michelle Williams as Barnum's wife, Charity, were the only ones that were disappointing, as they had to be vocal-over. As for the acting, Jackman's performance, is a joy to watch, in spite of looking nothing like the real-life partially bald, promoter. As for supporting actors like Zac Efron; this is one of the few roles, I like him in, even if his character, Phillip Carlyle is highly fictional version of Bailey. Even, Zendaya was good in her role, as Anne Wheeler doing all of her own trapeze stunts. Yet, I just the film had more subtlety with the character's story between the musical numbers, a little more. The film does seem a bit rushed, with the focus going from one song and dance number to the next. It cause a lot of befuddling. Some confusing areas are with Barnum's career, grown. The film doesn't showcase enough. After all, some of Barnum's major attractions are either gloss over, left out or only hinted at, such as the infamous ""mermaid"". Even Barnum's relationship with the 'freaks' & the circus animals get very little screen-time. Perhaps in order, not to get the audience to dig too deep into the controversies of the circus' history. Nevertheless, their out of the blue, appearance, once in the while, were really perplexing at times. Another one that came out of nowhere, is the relationship subplot between co-owner, Carlyle & Wheeler. When did it started and how!? Nevertheless, things like that, could had been work better. Despite that, overall: while this crowd-pleasing movie a bit campy and hokey with old-timey surface-level sentiment at times. 'The Greatest Showman' is a show still worth watching. Highly recommended.","
            6/10
            "
"WalkdenEntertainment","10 January 2019","P.T Barnum became orphaned at a young age, left all alone in the world and poor. But that never stopped him from being creative and full of imagination, or a desire to become something memorable in the world.After marrying his childhood sweetheart and being a proud father of two daughters, Barnum (Hugh Jackson) loses his job and struggles once again to make ends meet. Barnum soon gets a creative spark and risks it all with the dream of becoming a Great Showman who presents the odd, the strange and the unique to the world.In case you're not aware, this film is a musical. Being a musical, this will normally scare away many movie goers as the film promises some singing and dancing. But, I'm happy to admit that The Greatest Showman is far more than just another musical film. This film had a great story and fantastic acting.Hugh Jackman (no surprise) is solid as the leading character, once again giving audience members chills and watery eyes from his performance alone. From the opening act it didn't take long for his character to become someone rather fun and likeable. Other acting performances from both Michelle Williams and Zac Efron were also well cast and provided outstanding supportive roles. Going into this movie, I never thought I would come out saying that one of my favorite musical numbers would be a number between Hugh Jackman and Zac Efron.Another point of praise is the film's pacing. Let it be known on social media that I am not a major fan of musical films (more so when they are very sad musicals ...), but this is a musical film that is fast pace and well timed. Even during the Musical numbers, I never felt bored with the musical scene, nor did I ever roll my eyes and think 'oh man not another damn song'. Each song tells a story and that story moves quickly, full of excitement and without feeling dull or uninteresting. All the musical tracks of this movie are new and have many creative elements to them. Combining this with the film's great story, you have film that can be enjoyed by all ages. I enjoyed the film's positive message and I would easily recommend this film be viewed by many.It should have came as no surprise that this film's success has come heavily from another outstanding performance from Hugh Jackman. There is so much praise to be given to the many other cast members such as actress Michelle Williams. I also feel this was an excellent choice for the actor Zac Efron as he took a break from doing crude comedy films. Even if you're not a fan of musical films (like me), this is film that really shouldn't be missed. There is more to enjoy than just musical numbers here- this is film that carries amazing cinema elements and will leave you joyful.8.8/10
Walkden Entertainment","
            1/10
            "
"carolrmag","21 March 2018","I love musicals and this movie is a handful of good characters, actors and songs. Can't really grasp were it when wrong. The story shares very good values for our society. It brings light and hope. But it failed to bring me along. I think it may have to do with too many characters worth exploring, and failing to explore deep enough the two main characters. Should it had been longer? Maybe that would have made it better. Or maybe cutdown some scenes that don't bring that much and take too long.","
            4/10
            "
"nicholls_les","25 October 2020","Awful movie so far from the truth. Barnum is portrayed as a likeable, skilled businessman with high morals. But in truth he was a conman and tyrant.
Hugh Jackman, has been wanting to make and star in this movie for years as an epic rags-to-riches romantic musical movie celebrating Barnum's extraordinary life.But the movie paints such a false picture of Barnum, it should be a comedy. There is no mention of Barnum's endless failed business ventures, or his hasty second marriage, after his first wife's death, to a girl 40 years his junior, or his horrific mistreatment of his human and animal exhibits?Tom Thumb (real name, Charles Sherwood Stratton), was someone who suffered from dwarfism and stood just 25in high. Barnum had him dressed him in military uniform and billed him as the 'world's smallest general'.But Barnum first used him when he was a five-year-old boy and he put him to work drinking alcohol as part of his act, he was barely seven when he started puffing on cigars.And what of Joice Heth, the 80-year-old black slave whom Barnum bought for in 1835, he had her rebranded as 'George Washington's 160-year-old nanny.' Poor Joice was blind and partially paralyzed, with just enough movement in her right arm to allow her to smoke a corn-cob pipe. She was also toothless. Barnum even boasted about how he'd plied her with drink and then pulled out her remaining teeth to make her look closer to 160. Not surprisingly, she didn't last long - barely a year. He made still more money out of her death, charging the public 50 cents each to attend her public autopsy.
She has been airbrushed out completely out of the movie.Also there is no mention in the film of black conjoined twins Millie-Christine, or black brothers, Eko and Iko, all of whom had been kidnapped from their parents as children for their 'freak show' value, and later acquired by Barnum. Or the dread-locked black men who were displayed in cages as 'wild men.'
Also upsetting was an African-American boy, William Henry Johnson, who suffered from microcephaly, which meant he had a tiny, sloping head.
His 'act' involved sitting in a cage, dressed in a furry suit, shrieking and rattling the bars and pretending to be the Wildman of Africa or a 'man monkey'. At other times he was exhibited as Zip the Pinhead.Barnum is shown heroically rescuing someone from a fire. In truth in the 1860s, his New York Museum did burn down not once, but twice, boiling whales alive, roasting pythons and letting orangutans and serpents loose to roam free in Manhattan.In what was perhaps his biggest fraud of all, Barnum achieved the acceptance he craved from posh society by reinventing himself as a philanthropist, reforming mayor and anti-slavery campaigner.What is annoying about these movies is that they try to history so that characters like Joice Heth on whom he built his fortune, the black brothers, Eko and Iko, poor little Zip the Pinhead and scores of others like them, are forgotten. Just as they have been in the film.","
            3/10
            "
"adaptor","1 February 2021","The story is a rose-tinted revision of Barnum and his life, put to generic musical music, with a mediocre lead performer. To me the only redeeming thing is the performance from Zendaya of a fictional character...","
            5/10
            "
"kebakent","17 June 2018","The music lacked variation, was obnoxiously cheerful, and the lyrics mainly consisted of the typical ""reach for the stars"" nonsense, one has come to expect from modern musicals. Although the base story had nothing to do with diversity and racism, these Hollywood pawns somehow managed to shovel it in there anyway. I did not appreciate the negative portrayal of white people, and men in particular. 
Interestingly, they somehow managed to ignore the fact that this particular white man exploited ""freaks"" for profit. The critics were absolutely right on this one. Talented actors could not save this dumpsterfire of a production. I regret wasting my time, and I am saddened that so many users have such poor taste.","
            7/10
            "
"tlarsen-54559","12 May 2018","Maybe if I didn't have almost everyone I know tell me to watch this it would've been better. But rewatch it? Some people over 5 times is borderline insanity. The story is poorly written, the sync between the over produced singing and at times laughable mouthing, and the terrible cgi all took me out of the feeling multiple times. I did appreciate how much they showed how selfish the main guy was, but there was no sense of him involved with the troup of freaks for more than just money. At times they tried to imply but they really were just a side character that he also happened to exploit. Also, what circus only has dancing and singing? This was definitely forgettable and I can't believe how many people told me to watch it. There is so much better cinema out there people! Most Disney movies are better than this.","
            3/10
            "
"annika-ac-brink","27 November 2020","I love, love, love the movie/musical genre, so I really do want to rate this high. There should be so much more of this. I appreciate that this movie feels like a carefully planned artwork of image, song and dance choreography, and that it dares to be little theatrical. Storywise it's admittedly a bit flimsy, but still fun to watch. Would have been even better if I felt more drawn into the story and if that second song (with the young boy singing) wasn't so cringe worthy. The effects where the movie had a theatre-like vibe made this movie especially fun to watch, just wish they added that even more consistently throughout. All and all fun for movie/musical fanatics, and probably not so much if you dislike cheesy song and dance.","
            8/10
            "
"mikeh-54044","5 January 2019","Whatever happened to the great American art form - the musical? Is it that contemporary actors can't sing? Are songwriters simply devoid of imagination? How many songs of one note can be strung together until the audience begs for the end. One bright note: the dancing and choreography is ......... wonderful! That said, It isn't Rogers & Hammerstein.","
            5/10
            "
"tavm","4 January 2018","Just watched this with my movie theatre-working friend. This was the first time for both of us and we both were enthralled by what we saw and heard. This was the second time Hugh Jackman sang on film after Les Miserables. He was fine warbling then as he is now! He plays famous show business impresario P.T. Barnum. Don't know how much being depicted is true but there didn't seem a false note the whole movie, that's for sure! Nothing more to say except me and my friend highly recommend The Greatest Showman.","
            9/10
            "
"leonblackwood","14 May 2018","Review:
Just like the remake of the Great Gatsby, the music in this movie really doesn't suit the time period, which is set during the late 1800's but they are catchy tunes. Personally the music did get on my nerves after a while, because I just wanted them to get on with the story but it is a musical so I should have known what I was getting myself into. Anyway at the beginning of the movie, you see a young, penniless Phineas Taylor Barnum (Hugh Jackman), who has a wild imagination and sadly loses his father at an early age. Whilst living with is foster parents, he falls in love with his childhood sweetheart, even though her father thinks that he is not right for her but after writing many letters to each other, they end up getting married. At an older age, he ends up in a dead end job, and when he gets laid off, he decides to open a wax museum to make ends meet. Due to bad ticket sales from the museum, he changes the attraction to a circus, with ""never seen before"" live acts, full of a collection of oddities and music. After a while, Barnum gambles everything on a opera singer Jenny Lind (Rebecca Ferguson), which takes him away from the family home and puts a strain on his family life. Jenny expects more from there relationship, which Barnum declines and soon realises that he misses his family. On Jenny's last performance, she is pictured giving Barnum a kiss, which gets in the papers and makes his wife Charity (Michelle Williams) leave him, even though it was an innocent kiss. Meanwhile, his circus gets burnt down by the locals who think that it's a travelling freak show, so his partner, Phillip Carlyle agrees to help him to build the circus again, even though they don't have any money. Barnum then concentrates on sorting out his family life, and once that's back on track, he gathers the troops and they put on the best performance of there lives. It's quite a touching story which does have some emotional moments but I really couldn't take the singing. The costumes and the cinematography did make it unique and pretty spectacular but there wasn't much depth to the various characters, who all had strange oddities. I appreciate the amount of work that went into making the final product, and the fact that it had taken nearly 10 years to make but it just wasn't my cup of tea. I'm sure there are many people who will disagree with my point of view, especially after seeing the amount of money that it made at the box office but I've never been a big lover of musicals, so let's just put it down to personal choice. Average!Round-Up:
This is the first movie directed by Michael Gracey but he has made music videos for Natasha Bedingfield, the Sugababes and Will Young. For his first movie, he really took on a big task, and judging by the reviews, he certainly done a good job. With movies like The Muppet Man, Daughter of Smoke and Bone and Naruto in development, I'm sure that people will be anxious to see what he will be coming up with next but I personally doubt that he will smash the box office like he did with this movie. Although this wasn't my type of film, all of the actors put in a top performance, especially as most of them sung the numbers themselves. I can't see them making a sequel but I'm sure this film will be remembered for some time, especially as the soundtrack has become a best seller.Budget: $84million
Worldwide Gross: $431millionGenre: Biography, Drama, Musical
Cast: Hugh Jackman, Michelle Williams, Zac Efron, Zendaya, Rebecca Ferguson, Keala Settle, Eric Anderson, Will Swenson, Paul Sparks, Austyn Johnson and Cameron Seely. 5/10","
            10/10
            "
"Doug15","9 September 2020","If you like musicals and appreciate characters with grit and heart, this is the movie for you. I've seen this movie a dozen times and will see it another dozen. The soundtrack is catchy and can lift your spirits. The cast is amazing.","
            5/10
            "
"weflyswa","4 January 2018","This is my first ever review on IMDB. I have watched almost every movie in the last 15 years and have been silent. I was amazed at the dismal quality of movies in 2017 and thought it was perhaps one of the worst years for movies in a long time. Come 2018, my wife and I decide to see TGS. WOW!!!!. The music, the choreography, the dancing was all amazing. It makes LA-LA-Land look like a B-movie. This reminds me of Moulin Rouge, which we over and over for the music and dancing.If you like original movies, not never ending remakes, go see this movie. It is amazing. I promise you wont be disappointed.","
            3/10
            "
"view_and_review","15 January 2018","All I knew going into this movie is that it was about P.T. Barnum. I had know idea it was a musical and that almost killed it for me. It wasn't even on my radar as far as movies to watch in the theater but hey I have MoviePass and this movie was showing. Although it was a musical and I'm not a fan of musicals there were some good tunes in there. Of course the majority of the songs ran eight minutes long (seemingly) but the singing was good and the tunes were catchy. They were very modern for a movie about the 19th century but I was willing to forgive that inconsistency. The story was a feel-good, beautiful, heart-warming story--I mean all that good stuff. This is not me being sarcastic or facetious, it had a very good message and theme. But I'm calling BS. I'm not calling BS on all of it, just certain aspects of it. P.T. Barnum was probably an imaginative visionary that saw a way of entertaining and making money by showing the odd and freakish. What I don't believe are those that were in the P.T. Barnum circus. America has a dark past that involves the criminal mistreatment of certain people, and I don't mean bearded ladies, small people and siamese twins. A certain race of people were wholly enslaved and ostracized, yet in the mid 1800's P.T. Barnum had mostly African-Americans in his shows?? Get real.And I don't know much about P.T. Barnum but my guess would be that he was out to line his own pockets first, second and last and whatever it took to do that he would do. Did he bring some joy to the world? Probably. I still doubt that he had one joyous jubilant staff that couldn't wait to show off their oddities. The movie was too harmonious and sanctified to be about real events. Such a movie in and of itself is excellent, just don't revolve it around real people and real events.","
            1/10
            "
"jonathancruano","28 December 2017","I decided for a lark to pick a movie at random with my buddy Chijindu and we decided to go see ""The Greatest Showman."" What a mistake!""The Greatest Showman"" was obviously intended as wholesome entertainment, but that only makes it a well-intended mess. The main problem with the film is that hardly any imagination went into creating a good story. The film largely replaces plot, dialogue, and character development with wall-to-wall special effects and loud and yet forgettable songs. Moreover, I can understand why the studio heads decided to jam in as many special effects and jarring songs into this picture as possible: the screenplay was rubbish and borrowed shamelessly from the plot formulas of a dozen other films. The scene where P.T. Barnum as a boy meets Charity comes straight out of Charles Dickens' Great Expectations, which covers the subject of young love far more competently. Then midway through the movie, me and Chijindu called out the three plot formulas that determined the course of the rest of the film:(1) The cliche of whether P.T. Barnum was going to embrace the snobbish aristocrats or stay true to the circus performers who made him famous.(2) The conflict between an interracial romance and society's prejudices.(3) The love triangle involving P.T. Barnum, an opera singer, and his wife. As a result, this movie amounted to three half-baked plot formulas that were covered more capably in other movies. The screenplay also represents missed opportunities to explore some truly interesting areas. For instance, I would like to learn something about how P.T. Barnum and Phillip Carlyle ran their circus and managed costs. And maybe P.T. Barnum's circus could have gone on a number of extraordinary adventures all over the United States. But alas no, this film did not want to take advantage of any of these opportunities even though its ambitious budget certainly could have afforded it. The other problem with this movie is that while bigotry is one of its central themes, it is not handled in an intelligent and honest way. One of the film's unexplained conceits is that P.T. Barnum and Phillip Carlyle are virtually immune from any of the prejudices of their time and can see their world through 21st century eyes. By depicting Barnum and Carlyle in this post-modern light, the studio heads avoid the difficulties of explaining how these two characters dealt with the internal conflict between their prejudices and being exposed to the humanity of the circus performers. To be sure, these reservations about the plot might not have weighed as heavily as they did if the wall-to-wall songs were any good. Unfortunately, the songs in ""The Greatest Showman"" do not belong to the tradition of great musicals. In Disney's ""Little Mermaid,"" there was close collaboration between the people who wrote the lyrics and the people who set those lyrics to music. As a result, we still fondly remember Little Mermaid's songs like ""Under the Sea."" But no such collaboration took place here. Instead, what appears to have happened was that truly horrible lyrics were written and the composer had the thankless job of trying and failing miserably to set these lyrics to music. These songs are memorable only for how loud and embarrassing they are and I challenge anyone to be able to remember the tune to any of these songs -- and I bet they could not do it. As a result, ""The Greatest Showman"" is a film with good character actors trapped in formulaic plot with terrible musical numbers. There are some brief moments of wonder, including some rare quiet moments where P.T. Barnum and Charity are talking with their daughters Helen and Caroline. But unfortunately those moments are completely overwhelmed by the awful musical numbers (which were clearly prerecorded and then lip synched on screen) and the absence of a great storyline. ""The Great Showman,"" in a phrase, is anything but a great show.","
            2/10
            "
"krbodkin","29 April 2018","You know that feeling when you're fairly excited for a movie, and within seconds of the opening credits you regret your purchase? That's how I felt the second the intro song started. I wanted to like this. I really did. But the choice of music killed my enthusiasm faster than *insert witty dialog here*.","
            3/10
            "
"chilligrrl","25 October 2020","I had a few expectations; flashy, song driven, CGI ones. I got that, but what I didn't get was a good storyline. Maybe this would have been better split into a 10+ episode tv series where the story didn't move so incredibly quickly from scene to scene and the characters could have been given better individual stories.It got to the fire... and within a few minutes it was over after a touchy feely smothering hug, and i was left like..... ""and when does the story start? Ohhh... it's over. Ok then"". Talk about disappointing. Even his wife's father was an extremely disappointing limp character with no fight in him. ^sigh^","
            2/10
            "
